"","reviews"
"239","재미있고 캐릭터가 너무 귀여워요..하지만 중간의 재미에 비해 마무리가 좀아쉽네요  "
"240","진짜 재미있고 친구간의 우정이 많이 느꼇어요 감동 적이예요 보다가 눈물흘렷어요..  "
"241","친구간의 우정정말 멋졌어요  "
"242","감동,재미,귀욤.좋아!좋아!  "
"243","재미도있었고 감동이였습니다.  "
"244","프렌즈 처음엔 너무 재미있었고 나중엔 슬퍼서 눈물이 좌르르 정말 감동이었습니다.  "
"245","너무 재밌어요~~  "
"246","너무 감동적..그냥 보기만해도 눈물이 좌르륵..또한 재밌슴돠~~  "
"247","재미와 감동 둘 다 갖춘것 같아요!!  "
"248","아주 감동적입니다. 어린이들한테 강추!!!  "
"249","영화가 감동적이였어요.  "
"250","무엇을 말하랴 직접 보고 느껴라 웃음과 감동  "
"251","눈에는 눈물이 입에는 웃음이  아이들도 좋아하지만 어른에게도 더 좋은 영화  "
"252","이거 너무 감동적이고 스릴넘쳐서 꼬마아이들에게도 권해요.다시보고싶네요  "
"253","이런거 처음보는데 시간가는줄도모르고 이거 보고 울었어요 진짜 재밌있는 영화예요!  "
"254","프렌즈보면서  참 많이웃고 많이울었어요  재미있게 잘 봤습니다 감동많이 받았어요  "
"255","매우 감동적이었죠.눈물을 안흘리는 사람도 이걸 보면 눈물 흘릴것이라고 예상합니다!  "
"256","정~말 재밌었어요..특히 마지막에..너무 감동적이라 눈물났어요..  "
"257","손가락이 하나하나 움직이고~~넘 감동적이고 재밌어요ㅎㅎ  "
"258","시간가는줄도 모르고 봤어요! 재미있고 감동적이고~ 울었어요..ㅠㅠ  "
"259","재미있고, 감동적이에요! 친구들과 보면서 울었어요 ㅠㅠ  "
"260","그대로 밥을 차리면 될걸 더빙이라는 조미료가 맛을다 망친다. cg수준도 좀 떨어짐  "
"261","코타케넘넘귀엽워  "
"262","상상을뛰어넘는친구몬스터와인간사이우정군조와나키의우정감동과완벽한영화입니다  "
"263","완전 잼있습 그리고 감동  "
"264","선생님과 친구들과 보러 갔어요.흥미진지하고 친구의 우정이 매우 감동정이였어요~!  "
"265","코타케 이름은 코딱지 같고 군자는 군고구마같다. 하지만 내용은 감동적이였음  "
"266","생각보다 즐거웠고 재미있고 귀엽기도 했다. 그리고 헤어질 떄 아쉬웠따.  "
"267","저이거보고 완죤 감동했어요~~~ 2편도 나오면 좋겠다..  "
"268","2편도 나왔으면 좋겠네여.. 코타케 넘귀여워요...  "
"269","재미있어요.  "
"270","생각보다 즐거웠고 재밌었고 귀여웠고 슬폈어요 참 잘 본거 같아요 ^^  "
"271","처음에는 시시한건줄 알았는데 가다보니까 슬픈장면도 있고, 재밌었다...나울었어ㅠㅠ  "
"272","진짜 재밌어요 코타케 진짜 짱 귀여워 ㅋㅋ 너무 슬퍼서 울었어요 ㅋㅋ 감동이예요  "
"273","재밌었고 감동적이어서 울 뻔 햇어요^^  "
"274","정말 감동적이였어요 또 많이 울었어요 . 프렌즈 몬스터 섬의 비밀 홧팅!!!!  "
"275","정말 재미있었어요  "
"276","너무너무너무 재밌고, 완전 감동적이에요....제가 본 영화 중에 제일 좋았어요...  "
"277","감동 해서 10점을 주겠습니다  "
"278","짜조아 알았다오동동~!!  "
"279","아이들이 보기에는 재미있는 영화에요 그리고 다른 몬스터들의 분량이 살짝아쉬웠어요  "
"280","간만에 나온 토토로에 버금가는 최고의 애니! 명작으로 기억될 것 같아요!  "
"281","이거 재밌거든!!!  "
"282","완전 감동이예염.. ㅎㅎ 정말 잼있었어여..^^  "
"283","좀 내용이 적은것같기도 하지만 정말 재미있다^^  "
"284","감동적이었어요.군조가떠나니너무슬퍼요.ㅠㅠ  "
"285","몬스터 주식회사 같음. 너무 진행이빠른 영화...?  "
"286","많이 울었어여... 그래도 정말 재밌었어여!!  "
"287","ㅋㅋㅋ완전짱!  "
"288","시도는 좋았으나 이런건 헐리우드가 더 잘만드는거 같구나;;-_-  "
"289","감동받았어요!!  "
"290","완전짱  "
"291","진짜 잼있음 마지막에 감동적임~~♡  "
"292","보고났는데도  또 보고싶을 정도로 재미있어요.  "
"293","봐야지~~  "
"294","생각 이상으로 완성도 높은 스토리에 재미와 감동을 동시에 잡을 수 있었다.  "
"295","어른이 보면 유치.. 아이들 시각에서는 괜찮아요.  "
"296","생각보다 재밌음ㅋ  "
"297","아 요즘 애니에 꽂힘 ^-^ 재밌네용 ㅋ  "
"298","유치할까 걱정했는데... 이만하면 굳뜨!  "
"299","우연치않게 보게됬는데 어른이봐도 괜찬은 애니  "
"300","정말 멋졌구요. 이런 영화 또 나오면 좋겠네요.  "
"301","눈물 없인 볼 수 없는 감동의 애니메이션~~ 처음엔 재미있게 끝은 감동적으로~~  "
"302","완전재밋음 특히 싸우는것의 나키의 모습에 감동했음  "
"303","애들한테는 좋을 영화.  다만...... 저한테는 굉장히 유치했음.....  "
"304","와~ 진짜감동적임.  "
"305","나키랑 군조가 싸우는거 대박 감동적 임.  "
"306","완전 재미하고 감동이 와~말할수없는느낌~★  "
"307","애니메이션의 감동이 실사 뺨치네.. 엔딩타이틀 음악 절대 놓치지 말 것  "
"308","감동적이구요 가족끼리 보셔도 괜찮을것같네요  "
"309","유치할것같았는데 정말 감동적이였어요  "
"310","너무나 재미있어고, 감동적이었어요  "
"311","와 정말감동적이예요 저이거보고 존나울었음 프렌즈 화이팅!  "
"312","유치할 것 같았는데, 매우 감동적이구 몬스터간의 우정이 대단했다.  "
"313","너무 재미있고 감동적이였어요  "
"314","만화를 보면서 울고 있는나,, 내가 순수한게 아니라 만화가 재미와 감동을 주는거다 !  "
"315","너무나 감동함 몬스터가 무서운줄만알았는데 이런모습 새로운바견  "
"316","감동적인 장면이 많아서 좀 울었어요  "
"317","일본판 몬스터회사  "
"318","이영화넘넘재미있어요감동적이고이거다른사람들에게추천할게요. 내사랑코타케  "
"319","성인부터 유아까지, 재미부터 감동까지... 모두를 잡은 훌륭한 영화!  "
"320","너무 감동적이예용 코다케도 귀엽고 눈물까지 주르륵 감동감동ㅋ 강추! 입니당!!  "
"321","내사랑 코타케  "
